model,vectorizer,accuracy,precision,recall,f1_score,balanced_accuracy,matthews_corrcoef,training_time,roc_auc
BernoulliNB,bow_freq,0.551056338028169,0.6633789847742069,0.551056338028169,0.4300236818642563,0.5286477752920706,0.13948933124689025,0.011987924575805664,0.5331531195625155
RandomForest,bow_freq,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.24672603607177734,0.5367884663186676
ExtraTrees,bow_freq,0.5475352112676056,0.6540731023556577,0.5475352112676056,0.4231068906078139,0.5249440715883669,0.1263936294207502,0.19765710830688477,0.5252423564504102
GradientBoosting,bow_freq,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.12132096290588379,0.5311831966194381
LinearSVC,bow_freq,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.012678861618041992,0.5332214765100671
KNN,bow_freq,0.48063380281690143,0.5498301660273491,0.48063380281690143,0.3323692520513317,0.5041635595326871,0.027807799336201946,0.0532841682434082,0.5305804126273924
linear_stacking,bow_freq,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.03200697898864746,0.5332214765100671
ada_boost_tree,bow_freq,0.5246478873239436,0.27525540567347745,0.5246478873239436,0.3610740656409589,0.5,0.0,0.01755690574645996,0.5
ada_boost_simple,bow_freq,0.5246478873239436,0.27525540567347745,0.5246478873239436,0.3610740656409589,0.5,0.0,0.0698850154876709,0.5
gradient_boost_custom,bow_freq,0.5316901408450704,0.7525596843472181,0.5316901408450704,0.3766284771477102,0.5074074074074074,0.08847421003812489,0.14153075218200684,0.512670892368879
weighted_ensemble,bow_freq,0.5580985915492958,0.678593054070054,0.5580985915492958,0.443626910124352,0.5360551826994779,0.16360415488665622,0.385653018951416,0.5394108873974646
bagging_lr,bow_freq,0.5563380281690141,0.6650348185768888,0.5563380281690141,0.44255677606307703,0.5343773303504847,0.1535113150671338,0.09606790542602539,0.5378448918717376
bagging_sgd,bow_freq,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.09942913055419922,0.5428225205070842
calibrated_rf,bow_freq,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.9975450038909912,0.5301640566741238
calibrated_svm,bow_freq,0.5563380281690141,0.6415201736736207,0.5563380281690141,0.44924287040456773,0.5348993288590604,0.1430638863287274,0.017249107360839844,0.5398086005468556
ovr_nb,bow_freq,0.551056338028169,0.6633789847742069,0.551056338028169,0.4300236818642563,0.5286477752920706,0.13948933124689025,0.00979304313659668,0.5337745463584389
ovr_svm,bow_freq,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.011141061782836914,0.5323514789957743
feature_selection_lr,bow_freq,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.015697956085205078,0.5394668158090977
feature_selection_rf,bow_freq,0.5545774647887324,0.6523209358874458,0.5545774647887324,0.4414863782331925,0.5326994780014914,0.14377813299686729,0.4991950988769531,0.5398210290827741
stress_focused_ensemble,bow_freq,0.551056338028169,0.6230242618940661,0.551056338028169,0.4415814291561048,0.5295177728063635,0.12260437529558917,0.11768102645874023,0.533749689286602
XGBoost,bow_freq,0.5316901408450704,0.7525596843472181,0.5316901408450704,0.3766284771477102,0.5074074074074074,0.08847421003812489,0.025937318801879883,0.512670892368879
LightGBM,bow_freq,0.48063380281690143,0.5355086105401492,0.48063380281690143,0.3378605643878156,0.50381556052697,0.02236547349192252,0.02170276641845703,0.507394978871489
